mu         sigma        energy           err         delta       acc/att    iterations
0.86          0.48     -0.190442    0.00248056           3.9        0.4919            11
0.86           0.5     -0.271162    0.00200287           4.5        0.4924             5
0.86          0.52     -0.325072    0.00178008           4.6        0.4966             4
0.86          0.54     -0.370984    0.00130637           4.9        0.5017             1
0.86          0.56     -0.401396   0.000956203           4.9        0.5035             1
0.86          0.58     -0.418653    0.00106968             5        0.5075             2
0.86           0.6     -0.429328   0.000819901           5.2        0.5068             4
0.86          0.62     -0.430256    0.00111223           5.5        0.5016             7
0.86          0.64      -0.42709    0.00118887           5.5        0.5032             7
0.86          0.66      -0.41525    0.00152991           5.7        0.4987             9
0.86          0.68      -0.39864     0.0017762           5.8        0.5094            10
0.86           0.7     -0.376216    0.00190929           5.8        0.5067            10
0.86          0.72     -0.350578    0.00264539           5.8        0.5015            10
0.86          0.74     -0.327594    0.00286284           5.8        0.5084            10
0.86          0.76     -0.290168    0.00320081           5.9        0.5039            11
0.86          0.78     -0.264504    0.00348535           5.9        0.5098            11
0.86           0.8       -0.2305    0.00385676           5.9        0.5042            11
0.88           0.4        0.3022    0.00416498           1.8         0.495            32
0.88          0.42      0.150521    0.00343125             2         0.496            30
0.88          0.44      0.016409    0.00279707           2.2        0.4942            28
0.88          0.46    -0.0903932     0.0023934           2.6        0.4902            24
0.88          0.48     -0.183005    0.00234051           3.8        0.4946            12
0.88           0.5      -0.25453    0.00234126           4.3        0.4973             7
0.88          0.52     -0.316227    0.00182945           4.6        0.4907             4
0.88          0.54     -0.360624    0.00150971           4.8        0.4977             2
0.88          0.56     -0.388675    0.00105132           4.9        0.5062             1
0.88          0.58     -0.408405   0.000913977           5.1        0.4925             3
0.88           0.6     -0.416377   0.000916368           5.3        0.5065             5
0.88          0.62     -0.418959    0.00119698           5.4        0.5049             6
0.88          0.64     -0.410345    0.00147993           5.5        0.5061             7
0.88          0.66     -0.400554    0.00149516           5.5        0.5078             7
0.88          0.68     -0.379458    0.00182785           5.8        0.5047            10
0.88           0.7     -0.359121    0.00221632           5.9        0.5057            11
0.88          0.72     -0.339196    0.00217523           5.9        0.5081            11
0.88          0.74     -0.309543    0.00232856           6.1        0.5008            13
0.88          0.76     -0.270471    0.00335681           6.1        0.5031            13
0.88          0.78     -0.233022    0.00398031             6         0.507            12
0.88           0.8     -0.208296    0.00400926             6         0.507            12
0.9           0.4       0.31188    0.00334453           1.8        0.4968            32
0.9          0.42      0.157534    0.00317563           1.9        0.4996            31
0.9          0.44      0.030487    0.00256058           2.1        0.4935            29
0.9          0.46    -0.0798071    0.00212751           2.4         0.494            26
0.9          0.48     -0.165872    0.00210016           3.1        0.4926            19
0.9           0.5     -0.241409    0.00213422             4        0.4958            10
0.9          0.52     -0.300306    0.00164641           4.6        0.4909             4
0.9          0.54     -0.345849    0.00160149           4.8        0.4913             2
0.9          0.56     -0.375709    0.00121192           4.9         0.505             1
0.9          0.58       -0.3926   0.000985354           5.1        0.5085             3
0.9           0.6     -0.403708    0.00114049           5.2        0.5067             4
0.9          0.62     -0.406146    0.00137028           5.5        0.4988             7
0.9          0.64      -0.39478    0.00150841           5.6        0.5048             8
0.9          0.66     -0.387494    0.00161915           5.7        0.5095             9
0.9          0.68     -0.367539    0.00189093           5.9        0.5022            11
0.9           0.7     -0.343673    0.00208961             6        0.5047            12
0.9          0.72     -0.316286    0.00225895           6.1        0.5073            13
0.9          0.74     -0.283306    0.00302899           6.2        0.5059            14
0.9          0.76     -0.253862    0.00315134           6.1        0.4983            13
0.9          0.78      -0.21351    0.00369833           6.1        0.5048            13
0.9           0.8     -0.178215    0.00391045           6.3        0.4934            15
0.92           0.4      0.317221    0.00358339           1.7        0.5021            33
0.92          0.42      0.166361     0.0029585           1.9        0.4992            31
0.92          0.44     0.0411672    0.00287074             2        0.5072            30
0.92          0.46    -0.0634305    0.00220162           2.3        0.4942            27
0.92          0.48     -0.157418    0.00203039           2.6        0.4925            24
0.92           0.5     -0.228258    0.00205369           3.9        0.4909            11
0.92          0.52     -0.285076    0.00170993           4.5        0.4928             5
0.92          0.54      -0.32649    0.00163564           4.8        0.4969             2
0.92          0.56     -0.356543    0.00126124           4.9        0.4971             1
0.92          0.58     -0.376975    0.00110224           5.1        0.5015             3
0.92           0.6     -0.386146     0.0010986           5.1        0.5064             3
0.92          0.62     -0.388518    0.00139993           5.4        0.5094             6
0.92          0.64     -0.377115    0.00166077           5.7           0.5             9
0.92          0.66      -0.36307    0.00182626           5.8        0.5096            10
0.92          0.68     -0.347555    0.00187211           5.9        0.5086            11
0.92           0.7     -0.314389    0.00266651             6        0.5091            12
0.92          0.72     -0.290606    0.00250845           6.1        0.5002            13
0.92          0.74     -0.257281    0.00294703           6.1        0.5071            13
0.92          0.76     -0.222287    0.00334956           6.2        0.4986            14
0.92          0.78     -0.187234    0.00412482           6.4        0.4959            16
0.92           0.8     -0.144617    0.00423976           6.3         0.497            15
0.94           0.4      0.310982    0.00348721           1.7         0.504            35
0.94          0.42      0.174516    0.00307604           1.9        0.4929            33
0.94          0.44     0.0501988     0.0025268             2        0.5056            30
0.94          0.46    -0.0491017    0.00210423           2.3        0.4906            27
0.94          0.48     -0.136047    0.00205236           2.5        0.4929            25
0.94           0.5       -0.2103    0.00171709             3        0.4996            20
0.94          0.52     -0.264835    0.00147492           4.4        0.4973             6
0.94          0.54     -0.307803    0.00119531           4.5        0.4933             5
0.94          0.56     -0.338386    0.00114806           4.9        0.4901             1
0.94          0.58     -0.356217    0.00113829             5         0.501             2
0.94           0.6     -0.366547     0.0012956           5.3        0.5045             5
0.94          0.62       -0.3611    0.00166086           5.4        0.5087             6
0.94          0.64     -0.356649    0.00172363           5.5         0.506             7
0.94          0.66     -0.341765    0.00191835           5.8        0.5068            10
0.94          0.68     -0.322009    0.00234284           5.9        0.5085            11
0.94           0.7     -0.299233    0.00248584           6.1        0.4959            13
0.94          0.72     -0.262021    0.00313536           6.1        0.5051            13
0.94          0.74      -0.22477    0.00350174           6.3        0.5098            15
0.94          0.76      -0.18739    0.00365857           6.3        0.5002            15
0.94          0.78     -0.148263    0.00431181           6.4        0.5031            16
0.94           0.8     -0.105838    0.00449584           6.4        0.5068            16
0.96           0.4      0.314567    0.00407607           1.7        0.4954            33
0.96          0.42      0.182462    0.00289932           1.9        0.4942            31
0.96          0.44     0.0585975    0.00266073             2        0.4969            30
0.96          0.46    -0.0370899    0.00213802           2.3        0.4929            27
0.96          0.48      -0.12546    0.00177199           2.3        0.5032            27
0.96           0.5     -0.191944    0.00150227           2.6        0.4977            26
0.96          0.52     -0.241137    0.00131317           3.9        0.4905            11
0.96          0.54     -0.286402    0.00130203           4.3        0.5014             7
0.96          0.56     -0.315343    0.00124569           4.9          0.49             1
0.96          0.58     -0.331932    0.00127407           4.9         0.507             1
0.96           0.6     -0.341613    0.00139832           4.9          0.51             1
0.96          0.62     -0.338739    0.00150765           5.4        0.5037             6
0.96          0.64     -0.329084    0.00174261           5.6        0.5068             8
0.96          0.66     -0.315369    0.00231315           5.8        0.5044            10
0.96          0.68     -0.289714    0.00238459             6        0.4987            12
0.96           0.7     -0.268696    0.00266475             6        0.5093            12
0.96          0.72     -0.230311     0.0031047           6.2        0.5021            14
0.96          0.74     -0.197182    0.00364571           6.3        0.5068            15
0.96          0.76     -0.155054    0.00412377           6.5         0.507            17
0.96          0.78     -0.112845    0.00450271           6.5        0.5053            17
0.96           0.8    -0.0637276    0.00464657           6.6        0.5067            18
0.98           0.4      0.314128    0.00330701           1.7         0.507            33
0.98          0.42      0.190459    0.00305155           1.8        0.5057            32
0.98          0.44     0.0761542    0.00282366           1.9        0.5044            33
